epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,679,,0.07055073976516724,,28.72509765625,,36.24406433105469,,,
,0.0001,0.0001,684,,,,,,,,,
0,,,684,,0.03664427995681763,,18.540699005126953,,26.12096405029297,,,
,0.0001,0.0001,689,,,,,,,,,
0,,,689,,0.03058307245373726,,19.57695770263672,,23.86308479309082,,,
,0.0001,0.0001,694,,,,,,,,,
0,,,694,,0.05412902683019638,,22.696796417236328,,31.746896743774414,,,
,0.0001,0.0001,699,,,,,,,,,
0,,,699,,0.05110108479857445,,23.182186126708984,,30.84616470336914,,,
,0.0001,0.0001,704,,,,,,,,,
0,,,704,,0.04155686870217323,,21.1097354888916,,27.816822052001953,,,
,0.0001,0.0001,709,,,,,,,,,
0,,,709,,0.295287549495697,,48.19633102416992,,105.60919952392578,,,
,0.0001,0.0001,714,,,,,,,,,
0,,,714,,0.050977494567632675,,27.48556900024414,,30.808837890625,,,
,0.0001,0.0001,719,,,,,,,,,
0,,,719,,0.050422314554452896,,24.538928985595703,,30.64061737060547,,,
,0.0001,0.0001,724,,,,,,,,,
0,,,724,,0.03459092229604721,,21.740407943725586,,25.378568649291992,,,
,0.0001,0.0001,729,,,,,,,,,
0,,,729,,0.07618323713541031,,30.093685150146484,,37.66307830810547,,,
,0.0001,0.0001,734,,,,,,,,,
0,,,734,,0.06273627281188965,,28.844776153564453,,34.17790603637695,,,
,0.0001,0.0001,739,,,,,,,,,
0,,,739,,0.037172865122556686,,18.408628463745117,,26.308683395385742,,,
,0.0001,0.0001,744,,,,,,,,,
0,,,744,,0.0581137053668499,,24.91080093383789,,32.89466094970703,,,
,0.0001,0.0001,749,,,,,,,,,
0,,,749,,0.04762209951877594,,23.53103256225586,,29.777645111083984,,,
,0.0001,0.0001,754,,,,,,,,,
0,,,754,,0.1436776965856552,,33.18693542480469,,60.490718841552734,,,
,0.0001,0.0001,759,,,,,,,,,
0,,,759,,0.041709430515766144,,23.041946411132812,,27.867835998535156,,,
,0.0001,0.0001,764,,,,,,,,,
0,,,764,,0.029957953840494156,,19.242874145507812,,23.617952346801758,,,
,0.0001,0.0001,769,,,,,,,,,
0,,,769,,0.0391746461391449,,19.49466323852539,,27.007766723632812,,,
,0.0001,0.0001,774,,,,,,,,,
0,,,774,,0.03908275067806244,,23.1817626953125,,26.9760684967041,,,
,0.0001,0.0001,779,,,,,,,,,
0,,,779,,0.03725466877222061,,21.913633346557617,,26.337615966796875,,,
,0.0001,0.0001,784,,,,,,,,,
0,,,784,,0.026750139892101288,,19.237730026245117,,22.317689895629883,,,
,0.0001,0.0001,789,,,,,,,,,
0,,,789,,0.0679422914981842,,25.08159828186035,,35.574947357177734,,,
,0.0001,0.0001,794,,,,,,,,,
0,,,794,,0.1138133853673935,,34.01942443847656,,47.68313217163086,,,
,0.0001,0.0001,799,,,,,,,,,
0,,,799,,0.07199505716562271,,21.65912437438965,,37.18478012084961,,,
,0.0001,0.0001,804,,,,,,,,,
0,,,804,,0.06956774741411209,,27.184715270996094,,35.990684509277344,,,
,0.0001,0.0001,809,,,,,,,,,
0,,,809,,0.029660142958164215,,17.085208892822266,,23.500263214111328,,,
,0.0001,0.0001,814,,,,,,,,,
0,,,814,,0.0815899670124054,,32.2581787109375,,38.976646423339844,,,
,0.0001,0.0001,819,,,,,,,,,
